;COMMUNE;MEN_REL;WOMEN_REL;ILTUU_1_REL;ILTUU_2_REL;ILTUU_3_REL;ILTUU_4_REL;ILTUU_5_REL;ILTUU_Z_REL;TRANS_1_REL;TRANS_2_REL;TRANS_3_REL;TRANS_4_REL;TRANS_5_REL;TRANS_6_REL;TRANS_Z_REL;VOIT_0_REL;VOIT_1_REL;VOIT_2_REL;VOIT_3_REL;VOIT_X_REL;VOIT_Z_REL;NA5_AZ_REL;NA5_BE_REL;NA5_FZ_REL;NA5_GU_REL;NA5_OQ_REL;NA5_ZZ_REL;POIDS_VILLE;NB_HABITANTS;INDICE_DENSITE
10;1012;65.61853766525705;60.60496595587634;30.234232160964645;95.98927146016875;0;0;0;0;5.03050517226948;0;0;0;121.19299844886392;121.19299844886392;0;0;30.13228783814182;91.04371995464209;5.0474958283495;0;0;5.01357170938071;25.27174757954443;0;55.47245888059756;40.465725451610695;0;126.22350362113339;329;4
11;1013;45.0;40.0;10.0;75.0;0;0;0;0;5.0;5.0;0;0;75.0;75.0;0;0;20.0;55.0;10.0;0;0;10.0;0;15.0;20.0;40.0;0;85.0;144;4
12;1014;712.5253120077818;515.0225781436687;0;0;504.6655671535099;464.6785606169418;258.2037623809986;0;19.77920191341467;9.79160494459601;10.25533473239868;4.79951956253376;1157.6846251166937;1157.6846251166937;0;4.79951956253376;352.27646158726714;682.5122304126405;187.959678589009;0;0;5.06029026063539;433.1373491604527;84.65544170202057;474.08677163691317;230.60803739142855;0;1227.5478901514507;3356;2
13;1015;155.0;135.0;40.0;250.0;0;0;0;0;5.0;0;5.0;0;280.0;280.0;0;0;50.0;175.0;65.0;0;0;10.0;55.0;30.0;85.0;110.0;0;290.0;647;4
14;1016;95.62227074235814;115.75327510917039;30.196506550218356;181.17903930131015;0;0;0;0;15.09825327510918;0;0;5.03275109170306;191.24454148471628;191.24454148471628;0;0;20.13100436681224;156.01528384279487;35.229257641921414;0;0;0;30.196506550218356;5.03275109170306;90.58951965065508;85.55676855895202;0;211.37554585152853;461;3
15;1017;62.00670729108097;62.628840438452954;15.417293166755488;109.21825456277844;0;0;0;0;0;0;5.29074001085229;0;97.69483632462264;97.69483632462264;0;0;67.34269783606786;36.58481671585829;20.70803317760778;0;0;5.29074001085229;10.59973798071201;5.61080540267184;56.41415984741656;46.72010448788122;0;124.63554772953393;450;3
16;1019;15.57692307692307;0;0;15.57692307692307;0;0;0;0;5.19230769230769;0;0;0;10.38461538461538;10.38461538461538;0;0;15.57692307692307;0;0;0;0;0;10.38461538461538;0;0;5.19230769230769;0;15.57692307692307;27;4
17;1021;340.0;320.0;140.0;520.0;0;0;0;0;40.0;40.0;0;15.0;545.0;545.0;0;5.0;130.0;395.0;115.0;0;15.0;0;115.0;55.0;325.0;165.0;0;660.0;1427;3
18;1022;228.28996236190025;253.48910014303954;126.51604164751731;355.2630208574225;0;0;0;0;25.417018070275546;30.35180968254233;15.29002880203539;0;385.303512586731;385.303512586731;0;20.11093839665427;161.80034057891325;193.1482604238185;86.71952310555386;0;19.99999999999992;5.02064698963548;116.64351028210696;30.388344738312433;207.59788377015218;122.12867672473277;0;481.7790625049398;1244;3
19;1023;28.026315789473696;23.355263157894747;4.67105263157895;46.7105263157895;0;0;0;0;0;0;0;0;51.38157894736845;51.38157894736845;0;0;9.3421052631579;28.026315789473696;14.01315789473685;0;0;18.6842105263158;9.3421052631579;0;4.67105263157895;18.6842105263158;0;51.38157894736844;71;4
20;1024;746.795320086613;717.9374547035402;0;0;248.7522082060354;0;1215.9805665841177;0;44.926714264274096;9.79402746486378;10.174849455057789;9.60986093187988;1360.2767567960354;1360.2767567960354;0;10.2704959690691;394.1182709620383;837.7848518861249;222.5591559729207;0;0;10.07736993981969;253.861900211873;138.30627175871888;519.1844157482184;543.3028171315232;0;1464.7327747901531;3196;3
21;1025;962.8595739675055;997.917376251097;0;0;305.9085104792594;45.13404252972681;1609.7343972096162;0;85.25319144503953;50.148936144140905;0;20.05957445765636;1770.2109928708671;1770.2109928708671;0;0;330.98297855132995;1228.648935531452;386.1468083098849;0;14.99822782593537;65.19361698738318;275.8191487927749;205.6106381909777;797.3216316745334;616.8319145729331;0;1960.7769502186025;4078;3
22;1026;223.55531295487626;184.8747095176077;0;0;38.8791848617176;14.5796943231441;354.9711432876221;0;9.7197962154294;4.8598981077147;0;9.7197962154294;384.1305319339102;384.1305319339102;0;0;126.3573508005822;223.55531295487626;53.45887918486169;0;5.05847953216373;14.5796943231441;82.6182678311499;34.0192867540029;174.95633187772924;102.2564416864577;0;408.430022472484;948;3
23;1027;940.0;670.0;0;0;675.0;60.0;875.0;0;405.0;85.0;20.0;5.0;915.0;915.0;0;10.0;210.0;515.0;255.0;0;620.0;5.0;180.0;60.0;440.0;925.0;0;1610.0;2513;3
24;1028;151.27999999999997;151.27999999999997;34.16;268.4;0;0;0;0;4.88;0;4.88;4.88;283.03999999999996;283.03999999999996;0;0;58.56000000000001;180.55999999999997;63.44000000000001;0;0;9.76;63.44000000000001;29.279999999999998;117.12;82.96;0;302.55999999999995;610;3
25;1029;144.7431163621634;119.70128735773613;29.875863532223928;234.5685401876756;0;0;0;0;19.90914238967321;4.98336057127536;14.99999999290803;0;219.59320761295774;219.59320761295774;0;0;85.01596411645423;164.42843961053725;0;0;14.99999999290803;20.00805870038869;50.00799802260897;9.99151127079802;89.55358955994183;94.883246166162;0;264.4444037198995;687;3
26;1030;209.6984318455971;230.15681544028945;0;0;40.9167671893848;276.18817852834735;122.7503015681544;0;5.1145958986731;10.2291917973462;0;5.1145958986731;398.9384800965018;398.9384800965018;0;5.1145958986731;173.89626055488537;204.583835946924;56.260554885404105;0;0;0;92.0627261761158;15.3437876960193;240.38600723763562;92.0627261761158;0;439.85524728588655;848;2
27;1031;756.7195819002977;661.1327760201882;0;0;430.86326974611416;711.3419150700216;275.6471731043501;0;40.042013946650485;155.12479334623487;20.00583067053436;5.00144745485954;1147.5826328807632;1147.5826328807632;0;70.0811943842672;560.7008811621167;711.7254172525726;70.34486512170068;0;4.99999999982884;0;531.2383590494067;85.2577804780155;490.85042974312734;310.5057886499365;0;1417.852357920486;3632;2
28;1032;805.0;730.0;0;0;420.0;75.0;1040.0;0;45.0;55.0;30.0;20.0;1215.0;1215.0;0;5.0;440.0;880.0;210.0;0;0;0;250.0;115.0;585.0;585.0;0;1535.0;3351;3
29;1033;3757.9062642455087;3208.8824241363795;0;0;3216.3734035238595;4.99993721697233;3745.4153476410565;0;220.25240793618653;472.04450796000333;36.31141222919182;46.47926460196325;5441.053550082435;5441.053550082435;0;304.3893470468995;2609.082280495166;3160.5344066470616;859.4497394129456;0;33.33291477981552;45.55149279173501;1199.4356360678896;946.0548792517639;3132.7691742256693;1642.9775060448305;0;6966.788688381888;16431;2
30;1034;1711.9518622945957;1645.3705123868208;0;0;2072.0023298328033;24.92361995007002;1260.3964248985426;0;158.09875056054588;504.08929766237566;56.039115257658906;55.31091803378299;2498.7063977741573;2498.7063977741573;0;247.8073945526382;1356.9782741999343;1440.4800720998296;302.0566338290138;0;10.00000000000032;30.0675992484353;726.8990889734118;199.2270373575006;1181.6037549395226;1219.5248941625464;0;3357.3223746814165;9122;2
31;1035;75.97402597402588;55.71428571428565;25.3246753246753;106.36363636363625;0;0;0;0;0;10.12987012987012;0;0;121.55844155844144;121.55844155844144;0;0;50.649350649350595;75.97402597402588;5.06493506493506;0;0;10.12987012987012;40.51948051948048;0;45.58441558441554;35.454545454545425;0;131.68831168831153;312;4
32;1036;323.24387433396566;302.7476206088279;95.4201010899788;530.5713938528147;0;0;0;0;35.11271246222191;5.08446789268004;0;0;580.7291181971666;580.7291181971666;0;5.05889369840493;140.67101917062456;394.68184350602286;85.57973856774123;0;0;19.91436359121882;101.01201157650814;50.40583419874564;221.87427674203116;232.78500883428984;0;625.9914949427936;1320;3
33;1037;66.46722369246169;46.31805373091094;30.442070790642063;82.34320663273056;0;0;0;0;20.14916996155074;5.14645041454566;0;0;87.48965704727621;87.48965704727621;0;0;5.14645041454566;61.757404974547924;30.878702487273962;0;15.00271954700508;10.29290082909132;30.878702487273962;5.14645041454566;40.73497161973338;25.7322520727283;0;112.78527742337263;302;4
