;Unnamed: 0;COMMUNE;MEN_REL;WOMEN_REL;ILTUU_1_REL;ILTUU_2_REL;ILTUU_3_REL;ILTUU_4_REL;ILTUU_5_REL;ILTUU_Z_REL;TRANS_1_REL;TRANS_2_REL;TRANS_3_REL;TRANS_4_REL;TRANS_5_REL;TRANS_6_REL;TRANS_Z_REL;VOIT_0_REL;VOIT_1_REL;VOIT_2_REL;VOIT_3_REL;VOIT_X_REL;VOIT_Z_REL;NA5_AZ_REL;NA5_BE_REL;NA5_FZ_REL;NA5_GU_REL;NA5_OQ_REL;NA5_ZZ_REL;POIDS_VILLE;NB_HABITANTS;INDICE_DENSITE
3605;3605;24460;100.24213891117918;90.15011804846635;35.152685893947655;155.23957106569793;0.0;0.0;0.0;0;0.0;10.03325831462198;0.0;0.0;180.3589986450236;180.3589986450236;0;0.0;70.01077741604685;105.35411616509064;15.02736337850805;0;0.0;0.0;35.06397802741862;25.13422643629105;65.20754228528416;64.9865102106517;0;190.39225695964552;498.0;3.0
3606;3606;24461;162.05724590782276;111.36476236229804;116.39060563745558;157.03140263266528;0.0;0.0;0.0;0;25.34571993416165;25.382712077667488;0.0;0.0;222.69357625829164;222.69357625829164;0;20.17580687820638;111.36632977836965;106.37356479985954;35.50630681368525;0;0.0;60.5982851296711;15.33154361268031;20.24745038797355;75.82249958921199;101.42222955058386;0;273.4220082701208;815.0;3.0
3607;3607;24462;322.5807987158565;252.9886967730752;0.0;0.0;144.4068022055341;138.33841516557828;292.82427811781923;0;29.826596226442128;10.06600445267882;9.99150044840656;10.14162791820812;480.97559932126313;480.97559932126313;0;5.03300222633941;125.16452848538798;361.58363155377305;83.7883332234312;0;0.0;34.9341024570538;109.61839884241448;34.787316799533286;208.14634081287232;188.0833365770577;0;575.5694954889316;1708.0;3.0
3608;3608;24463;113.94882377503912;104.69863795666625;0.0;0.0;84.53780233563631;64.28376436764668;69.82589502842238;0;20.083293470017377;9.74818048965707;0.0;0.0;183.77471880346147;183.77471880346147;0;5.12736404135928;35.71935814393525;114.1814979614688;63.61924158494201;0;0.0;19.66710547728638;19.41173542082775;39.57820880172406;75.20583411300312;64.78457791886407;0;218.6474617317054;545.0;3.0
3609;3609;24464;59.4461538461538;44.58461538461535;44.58461538461535;59.4461538461538;0.0;0.0;0.0;0;9.9076923076923;14.861538461538448;0.0;0.0;79.2615384615384;79.2615384615384;0;0.0;24.76923076923075;44.58461538461535;34.676923076923046;0;0.0;44.58461538461535;9.9076923076923;0.0;29.7230769230769;19.8153846153846;0;104.03076923076917;322.0;4.0
3610;3610;24465;40.33898305084744;40.33898305084744;10.08474576271186;70.59322033898302;0.0;0.0;0.0;0;10.08474576271186;0.0;0.0;0.0;70.59322033898302;70.59322033898302;0;10.08474576271186;20.16949152542372;50.4237288135593;0.0;0;0.0;25.21186440677965;15.127118644067789;0.0;25.21186440677965;15.127118644067789;0;80.67796610169488;238.0;4.0
3611;3611;24466;76.15030674846629;76.15030674846629;60.92024539877305;91.38036809815956;0.0;0.0;0.0;0;5.07668711656442;20.30674846625768;0.0;0.0;126.9171779141105;126.9171779141105;0;0.0;40.61349693251536;50.76687116564421;60.92024539877305;0;0.0;40.61349693251536;5.07668711656442;10.15337423312884;60.92024539877305;35.536809815950946;0;152.30061349693258;331.0;3.0
3612;3612;24468;115.3042399293613;55.28439987494951;65.88235256183698;104.70628724247383;0.0;0.0;0.0;0;14.62451358407012;25.48147027409834;0.0;0.0;125.18157350621162;125.18157350621162;0;5.15363322514562;26.067165844268487;60.70877693099341;78.65906380390327;0;0.0;49.99915855174654;14.89548239602068;25.34210956020513;64.89098962090156;15.46089967543686;0;170.58863980431082;311.0;3.0
3613;3613;24470;49.0458015267176;29.42748091603056;19.61832061068704;58.85496183206113;0.0;0.0;0.0;0;19.61832061068704;0.0;0.0;0.0;58.85496183206113;58.85496183206113;0;4.90458015267176;9.80916030534352;53.950381679389366;9.80916030534352;0;0.0;14.71374045801528;4.90458015267176;0.0;24.5229007633588;34.33206106870232;0;78.47328244274816;257.0;4.0
3614;3614;24471;156.14767255217825;131.7495987159004;53.67576243981127;234.2215088282674;0.0;0.0;0.0;0;0.0;4.87961476725557;0.0;0.0;283.01765650082314;283.01765650082314;0;0.0;102.471910112367;126.86998394864484;58.55537720706683;0;0.0;24.39807383627785;63.4349919743224;9.75922953451114;87.83306581060027;102.471910112367;0;287.8972712680786;610.0;3.0
3615;3615;24472;190.0;170.0;0.0;0.0;70.0;255.0;35.0;0;35.0;0.0;0.0;5.0;320.0;320.0;0;0.0;75.0;170.0;115.0;0;0.0;35.0;25.0;50.0;150.0;100.0;0;360.0;975.0;3.0
3616;3616;24473;60.68376068376072;45.51282051282054;50.5698005698006;55.62678062678066;0.0;0.0;0.0;0;15.17094017094018;10.11396011396012;0.0;0.0;75.85470085470091;75.85470085470091;0;0.0;35.39886039886042;50.5698005698006;20.22792022792024;0;0.0;30.34188034188036;10.11396011396012;15.17094017094018;25.2849002849003;25.2849002849003;0;106.19658119658126;355.0;4.0
3617;3617;24474;44.81012658227848;33.60759493670886;11.20253164556962;67.21518987341771;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;78.41772151898734;78.41772151898734;0;0.0;28.00632911392405;33.60759493670886;16.80379746835443;0;0.0;0.0;28.00632911392405;5.60126582278481;28.00632911392405;16.80379746835443;0;78.41772151898734;177.0;4.0
3619;3619;24477;53.35820895522392;53.35820895522392;19.40298507462688;87.31343283582096;0.0;0.0;0.0;0;0.0;4.85074626865672;0.0;0.0;101.86567164179112;101.86567164179112;0;0.0;14.55223880597016;72.7611940298508;19.40298507462688;0;0.0;4.85074626865672;9.70149253731344;4.85074626865672;43.65671641791048;43.65671641791048;0;106.71641791044784;195.0;3.0
3620;3620;24478;36.83246073298427;47.35602094240836;10.52356020942408;73.66492146596856;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;84.18848167539264;84.18848167539264;0;5.26178010471204;15.78534031413612;47.35602094240836;15.78534031413612;0;0.0;0.0;10.52356020942408;10.52356020942408;31.570680628272235;31.570680628272235;0;84.18848167539264;201.0;3.0
3621;3621;24479;167.27297893032795;152.56261117439894;118.19859965324476;201.6369904514821;0.0;0.0;0.0;0;44.56389794880002;10.112444785899331;4.6210983954519;9.912343101485307;250.6258058730903;250.6258058730903;0;0.0;119.18177690459244;118.09159378468551;82.5622194154489;0;0.0;20.12383895160821;43.69368952035102;44.55801798053899;107.88409626356672;103.57594738866187;0;319.83559010472686;1171.0;3.0
3623;3623;24481;44.33426423951118;59.33112122512669;34.27372724581878;69.39165821881909;0.0;0.0;0.0;0;4.74828193246685;5.12793749703815;0.0;0.0;88.75889753828667;88.75889753828667;0;9.4965638649337;20.124794482653662;59.42861575625409;14.615411360796418;0;0.0;19.08886763185873;10.0605369936924;9.77493555254255;20.220603235211183;44.52044205133301;0;103.66538546463786;521.0;4.0
3624;3624;24482;45.0;40.0;25.0;60.0;0.0;0.0;0.0;0;5.0;5.0;0.0;0.0;75.0;75.0;0;0.0;40.0;40.0;5.0;0;0.0;15.0;5.0;20.0;15.0;30.0;0;85.0;277.0;3.0
3625;3625;24483;34.260563380281695;24.4718309859155;14.6830985915493;44.0492957746479;0.0;0.0;0.0;0;4.8943661971831;0.0;0.0;0.0;48.943661971831006;48.943661971831006;0;0.0;24.4718309859155;34.260563380281695;0.0;0;0.0;14.6830985915493;4.8943661971831;0.0;24.4718309859155;14.6830985915493;0;58.7323943661972;139.0;3.0
